yarn run v1.22.22
$ tsx src/example-app/app.ts backfill
[20:31:44.217] INFO (78126): Creating app connecting to: postgres://shuttle:password@0.0.0.0:6541, 0.0.0.0:16379, kassad.farcaster.xyz:2283
[20:31:44.238] INFO (78126): Backfilling fids: 521
[20:31:44.275] INFO (78126): Migrations up to date
[20:31:44.275] INFO (78126): Adding fids 521
[20:31:44.278] INFO (78126): Backfill jobs queued
[20:31:44.281] INFO (78126): Starting job {"job":{"name":"reconcile","data":{"fids":[521]},"opts":{"attempts":3,"delay":0,"backoff":{"delay":1000,"type":"exponential"}},"id":"443","progress":0,"returnvalue":null,"stacktrace":[],"attemptsStarted":1,"attemptsMade":0,"delay":0,"timestamp":1733880704275,"queueQualifiedName":"bull:default","processedOn":1733880704280,"token":"1b39e645-aa4e-4bbe-9b7f-42bf24cec151:0"}}
[20:31:44.281] INFO (78126): Starting job {"job":{"name":"completionMarker","data":{"startedAt":1733880704275},"opts":{"attempts":3,"delay":0,"backoff":{"delay":1000,"type":"exponential"}},"id":"444","progress":0,"returnvalue":null,"stacktrace":[],"attemptsStarted":1,"attemptsMade":0,"delay":0,"timestamp":1733880704277,"queueQualifiedName":"bull:default","processedOn":1733880704281,"token":"1b39e645-aa4e-4bbe-9b7f-42bf24cec151:1"}}
[20:31:44.282] INFO (78126): Reconciliation started at 2024-12-11T01:31:44.275Z complete at 2024-12-11T01:31:44.282Z 0.0001 minutes
[20:31:45.088] INFO (78126): created missed message (merge) 0xb61e3b5be43d6bb3a1a68bf9002a2a34437e4d1e (type 1) (fid 521)
[20:31:45.098] INFO (78126): created missed message (merge) 0x351b47ae31db1968a304c6d605db3a2aef2f33d3 (type 1) (fid 521)
[20:31:45.100] INFO (78126): created missed message (merge) 0x27f7f98a2e2b6c09991fe014acb87c6cb99820b0 (type 1) (fid 521)
[20:31:45.102] INFO (78126): created missed message (merge) 0x346334a25ecea719182236a8c507ecbb01354a3f (type 1) (fid 521)
[20:31:45.102] INFO (78126): created missed message (merge) 0x5337d989d2d61017a3bb9e9ae3f846b0c08c49fa (type 1) (fid 521)
[20:31:45.103] INFO (78126): created missed message (merge) 0xe2f125a7dca21de74a35fe530453adb260d4896d (type 1) (fid 521)
[20:31:45.103] INFO (78126): created missed message (merge) 0x304b0373790b8a34934838b78500f2e77feb95f7 (type 1) (fid 521)
[20:31:45.104] INFO (78126): created missed message (merge) 0x8c1cdceea87b7475014fcf139dbc5e47bc953e5a (type 1) (fid 521)
[20:31:45.104] INFO (78126): created missed message (merge) 0x5ed23a01d62ca40204ee72fbc01f34d23b0ab680 (type 1) (fid 521)
[20:31:45.106] INFO (78126): created missed message (merge) 0x0cfb4f65cf4b798cdf185798d5ec2bf8e3d8ee05 (type 1) (fid 521)
